case_id,car_id,valid_data_fraction,missing_value_fraction,information_valid_fraction,longest_missing_data_segment,number_of_discontinuities,temp_error_median,temp_error_abs_mean,temp_error_abs_p90,temp_error_abs_p95,temp_error_abs_max,temp_error_std,temp_error_mad,fraction_error_gt_1,fraction_error_gt_2,fraction_error_gt_3,median_indoor_outdoor_diff,temp_variability,number_of_state_changes,state_transition_rate_per_hour,active_cooling_duty_cycle,longest_continuous_cooling_ticks,load_halved_fraction,peer_simple_residual_median,peer_simple_residual_abs_median,peer_simple_residual_abs_p90,peer_simple_residual_abs_p95,peer_simple_residual_abs_max,peer_simple_residual_mad,peer_simple_fraction_gt_1,peer_simple_fraction_gt_2,peer_simple_longest_persistent_deviation,peer_context_residual_median,peer_context_residual_abs_median,peer_context_residual_abs_p90,peer_context_residual_abs_p95,peer_context_residual_abs_max,peer_context_residual_mad,peer_context_fraction_gt_1,peer_context_fraction_gt_2,peer_context_longest_persistent_deviation,faulty
acv_case_01.xlsx,01,0.9032718959851407,0.09672810401485926,0.8996999571367338,10.0,103.0,0.0,1.2336033031602351,4.0,5.5,10.5,1.9569084012088922,0.5,0.2343973320628871,0.13323804986501508,0.1151341908845482,-5.0,2.283091033858445,34.0,0.36628063560463237,0.8289755679382769,487.0,0.0,0.0,0.5,2.0,3.0,25.0,0.5,0.1255931667193926,0.08494147421701993,77.0,0.0,0.5,2.0,3.5,25.0,0.5,0.146472635242012,0.09158494147421702,135.0,1
acv_case_01.xlsx,02,0.9032718959851407,0.09672810401485926,0.9032718959851407,10.0,103.0,0.0,0.927000949066751,2.0,2.5,10.5,1.3335510626075662,0.5,0.22018348623853212,0.08589054096804809,0.029104713698196772,-4.5,1.6658378076271583,16.0,0.1723673579315917,0.8366909558508359,502.0,0.0,0.0,0.5,1.0,1.5,2.5,0.5,0.056311293894337235,0.004745333755140778,60.0,0.0,0.5,1.5,3.0,6.0,0.5,0.12179689971527997,0.07165453970262575,135.0,0
acv_case_01.xlsx,03,0.9032718959851407,0.09672810401485926,0.9032718959851407,10.0,103.0,0.0,0.7666877570389118,1.5,2.0,10.0,1.1025145120004998,0.5,0.16086681429927238,0.03464093641252768,0.009016134134767479,-5.5,1.5687915033857271,17.0,0.18314031780231618,0.8366909558508359,502.0,0.0,0.0,0.0,0.5,1.0,2.0,0.0,0.0031635558367605187,0.0,4.0,0.0,0.0,0.5,1.0,2.0,0.0,0.0033217336285985446,0.0,4.0,0
acv_case_01.xlsx,04,0.9032718959851407,0.09672810401485926,0.9032718959851407,10.0,103.0,0.0,0.7091901297057893,1.5,2.0,10.0,1.0374896216664204,0.5,0.13160392280923758,0.020721290730781397,0.008857956342929452,-5.0,1.5420086013895575,16.0,0.1723673579315917,0.8366909558508359,502.0,0.0,0.0,0.0,0.5,1.0,2.5,0.0,0.002214489085732363,0.00015817779183802593,6.0,0.0,0.0,0.5,1.0,2.5,0.0,0.002214489085732363,0.00015817779183802593,6.0,0
acv_case_01.xlsx,05,0.9032718959851407,0.09672810401485926,0.9032718959851407,10.0,103.0,-0.5,0.7060265738690288,1.5,1.5,9.5,0.9943659046867183,0.5,0.11594432141727301,0.014710534640936412,0.009490667510281556,-5.5,1.518203884438576,16.0,0.1723673579315917,0.8366909558508359,502.0,0.0,0.0,0.5,0.5,1.0,1.5,0.5,0.0031635558367605187,0.0,5.0,0.0,0.5,0.5,1.0,1.5,0.5,0.0031635558367605187,0.0,5.0,0
acv_case_01.xlsx,06,0.9032718959851407,0.09672810401485926,0.9032718959851407,10.0,103.0,-0.5,0.7222397975324264,1.5,2.0,9.5,1.0291159886299488,0.5,0.12670041126225878,0.025466624485922178,0.009490667510281556,-5.0,1.5530837209704058,16.0,0.1723673579315917,0.8366909558508359,502.0,0.0,0.0,0.0,0.5,1.0,1.5,0.0,0.0017399557102182853,0.0,3.0,0.0,0.0,0.5,1.0,1.5,0.0,0.0017399557102182853,0.0,3.0,0
acv_case_01.xlsx,07,0.9032718959851407,0.09672810401485926,0.9032718959851407,10.0,103.0,-0.5,0.7217652641569123,1.5,2.0,9.5,1.033731657767846,0.5,0.13112938943372351,0.025941157861436255,0.00933248971844353,-5.0,1.5554469664458521,16.0,0.1723673579315917,0.8366909558508359,502.0,0.0,0.0,0.5,0.5,1.0,2.5,0.5,0.0033217336285985446,0.00015817779183802593,6.0,0.0,0.5,0.5,1.0,2.5,0.5,0.0031635558367605187,0.00015817779183802593,6.0,0
acv_case_01.xlsx,08,0.9032718959851407,0.09672810401485926,0.9032718959851407,10.0,103.0,-0.5,0.6618949699462195,1.0,1.5,9.5,0.9319924033621972,0.5,0.09569756406200569,0.012337867763366024,0.008699778551091426,-4.0,1.46206154551267,16.0,0.1723673579315917,0.8366909558508359,502.0,0.0,0.0,0.5,1.0,1.0,2.5,0.5,0.01518506801645049,0.00015817779183802593,8.0,0.0,0.5,1.0,1.0,2.5,0.5,0.01518506801645049,0.00015817779183802593,8.0,0
acv_case_02.xlsx,01,0.9123761837378905,0.08762381626210951,0.9123761837378905,35.0,96.0,0.0,0.6534240038177046,1.0,1.5,5.0,0.8564177890941548,0.5,0.09055118110236221,0.019327129563350035,0.006442376521116679,-8.5,1.158059522343464,12.0,0.12554489973844812,0.9024708827691303,181.0,0.0,0.0,0.5,1.0,1.0,2.5,0.5,0.024457170126461467,0.000954426151276545,28.0,0.0,0.5,1.0,1.0,2.0,0.5,0.013600572655690766,0.0,26.0,0
acv_case_02.xlsx,02,0.9123761837378905,0.08762381626210951,0.9075868074453032,35.0,96.0,0.5,0.7512592947949148,1.5,2.0,5.0,0.9487223409099744,0.5,0.14883665147517391,0.04857279923242984,0.018829455504917245,-8.5,2.080907296712695,16.0,0.16739319965126417,0.9004027430064221,181.0,0.0,0.0,0.5,1.0,1.5,28.0,0.5,0.07086614173228346,0.018611309949892626,71.0,0.0,0.5,1.0,1.5,28.0,0.5,0.06156048675733715,0.01825340014316392,71.0,1
